"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3937","Create Account Using UI And Validate Using API","chromium","2026-05-17","passed","2026-05-17","Parabank UI + API E2E Flow","end2end.spec.ts","",""
"","28596","has title","firefox","2026-05-18","passed","2026-05-18","","example.spec.ts","",""
"","1439","Empty Password Validation","firefox","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","1807","Password Mismatch Validation","firefox","2026-05-20","passed","2026-05-20","Parabank UI Scenarios @smoke @regression","ui.spec.ts","",""
"","181","Repeated GET accounts 20 times asynchronously","webkit","2026-05-19","passed","2026-05-19","Performance Lite Tests @performance","performance.spec.ts","",""
"","3157","Create Account Using UI And Validate Using API","chromium","2026-05-20","passed","2026-05-20","Parabank UI + API E2E Flow @e2e @regression","end2end.spec.ts","",""
"","2103","Empty Registration Form Validation","webkit","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Registration Negative Scenarios","negative.spec.ts","",""
"","2509","Empty Username Validation","firefox","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","126","TC-NEG-API-01 - GET accounts for non-existent customer ID @api","chromium","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","8713","has title","chromium","2026-05-18","passed","2026-05-18","","example.spec.ts","",""
"","9208","get started link","chromium","2026-05-18","passed","2026-05-18","","example.spec.ts","",""
"","76","TC-NEG-API-01 - GET accounts for non-existent customer ID","chromium","2026-05-17","passed","2026-05-17","ParaBank Account APIs","api.spec.ts","",""
"","18092","get started link","webkit","2026-05-18","passed","2026-05-18","","example.spec.ts","",""
"","30","API response time should be under 2 seconds","chromium","2026-05-20","passed","2026-05-20","Performance Lite Tests @performance","performance.spec.ts","",""
"","3027","Password Mismatch Validation","webkit","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Registration Negative Scenarios","negative.spec.ts","",""
"","6485","Create Account Using UI And Validate Using API","webkit","2026-05-20","passed","2026-05-20","Parabank UI + API E2E Flow @e2e @regression","end2end.spec.ts","",""
"","4425","Parabank UI Flow","webkit","2026-05-20","passed","2026-05-20","Parabank UI Scenarios @smoke @regression","ui.spec.ts","",""
"","297","Create New Account","chromium","2026-05-17","passed","2026-05-17","ParaBank Account APIs","api.spec.ts","",""
"","954","Empty Password Validation","chromium","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","41","API response time should be under 2 seconds","webkit","2026-05-20","passed","2026-05-20","Performance Lite Tests @performance","performance.spec.ts","",""
"","1807","Password Mismatch Validation","firefox","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Registration Negative Scenarios","negative.spec.ts","",""
"","192","Create New Account @smoke @api","chromium","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","2539","Password Mismatch Validation","webkit","2026-05-20","passed","2026-05-20","Parabank UI Scenarios @smoke @regression","ui.spec.ts","",""
"","35293","get started link","firefox","2026-05-18","failed","2026-05-18","","example.spec.ts","",""
"","2061","Invalid Username and Password","firefox","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","940","Repeated GET accounts 20 times asynchronously","firefox","2026-05-19","passed","2026-05-19","Performance Lite Tests @performance","performance.spec.ts","",""
"","10195","has title","webkit","2026-05-18","passed","2026-05-18","","example.spec.ts","",""
"","325","Get Account @api @regression","firefox","2026-05-17","passed","2026-05-17","ParaBank Account APIs","api.spec.ts","",""
"","836","Invalid Username and Password","chromium","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","37940","Password Mismatch Validation","chromium","2026-05-20","passed","2026-05-20","Parabank UI Scenarios @smoke @regression","ui.spec.ts","",""
"","75","Repeated GET accounts 5 times asynchronously","webkit","2026-05-20","passed","2026-05-20","Performance Lite Tests @performance","performance.spec.ts","",""
"","4528","Create Account Using UI And Validate Using API","firefox","2026-05-20","passed","2026-05-20","Parabank UI + API E2E Flow @e2e @regression","end2end.spec.ts","",""
"","57","TC-NEG-API-01 - GET accounts for non-existent customer ID @api","firefox","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","2218","Parabank UI Flow","chromium","2026-05-20","passed","2026-05-20","Parabank UI Scenarios @smoke @regression","ui.spec.ts","",""
"","2131","Empty Username Validation","webkit","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","159","Get User","chromium","2026-05-17","passed","2026-05-17","ParaBank Account APIs","api.spec.ts","",""
"","74","Get Account @api @regression","chromium","2026-05-17","passed","2026-05-17","ParaBank Account APIs","api.spec.ts","",""
"","2768","Password Mismatch Validation","chromium","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Registration Negative Scenarios","negative.spec.ts","",""
"","1665","UI page load time should be reasonable","webkit","2026-05-20","passed","2026-05-20","Performance Lite Tests @performance","performance.spec.ts","",""
"","244","Repeated GET accounts 20 times asynchronously","chromium","2026-05-19","passed","2026-05-19","Performance Lite Tests @performance","performance.spec.ts","",""
"","26","API response time should be under 2 seconds","firefox","2026-05-20","passed","2026-05-20","Performance Lite Tests @performance","performance.spec.ts","",""
"","996","Empty Registration Form Validation","chromium","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Registration Negative Scenarios","negative.spec.ts","",""
"","97","Repeated GET accounts 5 times asynchronously","chromium","2026-05-20","passed","2026-05-20","Performance Lite Tests @performance","performance.spec.ts","",""
"","57","Repeated GET accounts 5 times asynchronously","firefox","2026-05-20","passed","2026-05-20","Performance Lite Tests @performance","performance.spec.ts","",""
"","3455","Parabank UI Flow","firefox","2026-05-20","passed","2026-05-20","Parabank UI Scenarios @smoke @regression","ui.spec.ts","",""
"","78","Create New Account @smoke @api","firefox","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","1659","Empty Registration Form Validation","firefox","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Registration Negative Scenarios","negative.spec.ts","",""
"","127","Create New Account @smoke @api","webkit","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","2073","Empty Password Validation","webkit","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","202","Get Account @smoke @api @regression","chromium","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","313","Get Account @api @regression","webkit","2026-05-17","passed","2026-05-17","ParaBank Account APIs","api.spec.ts","",""
"","28","Get Account","chromium","2026-05-17","passed","2026-05-17","ParaBank Account APIs","api.spec.ts","",""
"","904","Password Mismatch Validation","chromium","2026-05-17","passed","2026-05-17","Parabank UI Scenarios","ui.spec.ts","",""
"","85","Get Account @smoke @api @regression","firefox","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
